Temperature,Humidity,WindSpeed,Pressure,Rainfall
8.2,82,25,1002,Yes
15.3,45,10,1018,No
22.1,78,30,1005,Yes
5.0,90,35,998,Yes
28.5,35,8,1022,No
18.7,62,15,1015,No
12.4,88,40,1000,Yes
25.0,40,5,1020,No
9.8,75,20,1008,Yes
20.3,55,12,1016,No
3.2,92,28,995,Yes
17.5,48,7,1019,No
30.1,30,6,1025,No
11.0,85,32,1003,Yes
14.8,70,18,1010,No
7.5,80,22,1004,Yes
23.4,42,9,1021,No
19.0,68,14,1012,No
6.3,87,38,997,Yes
26.7,38,4,1023,No
10.5,78,26,1006,Yes
16.2,52,11,1017,No
4.1,95,42,993,Yes
21.8,60,13,1014,No
13.6,72,19,1009,Yes
27.3,33,3,1024,No
8.9,84,29,1001,Yes
18.1,50,8,1018,No
2.5,93,45,992,Yes
24.6,37,7,1022,No
11.7,76,21,1007,Yes
15.9,58,16,1013,No
29.0,28,5,1026,No
7.0,89,33,999,Yes
20.8,44,10,1019,No
9.1,81,24,1003,Yes
22.5,65,17,1011,No
14.2,74,23,1005,Yes
31.5,25,2,1027,No
6.8,91,36,996,Yes
16.7,47,9,1020,No
25.3,34,6,1024,No
12.0,83,27,1002,Yes
19.5,56,14,1015,No
3.8,94,41,994,Yes
21.2,43,8,1021,No
10.0,79,30,1004,Yes
17.8,53,12,1016,No
28.0,31,4,1025,No
8.5,86,34,1000,Yes
15.0,64,15,1012,No
23.8,39,7,1023,No
5.5,88,37,997,Yes
20.0,58,11,1017,No
13.0,77,22,1006,Yes
26.0,36,5,1024,No
7.8,82,25,1003,Yes
18.4,51,9,1018,No
1.5,96,48,990,Yes
24.0,41,6,1021,No
11.3,80,28,1005,Yes
16.5,54,13,1014,No
29.5,27,3,1026,No
9.5,85,31,1001,Yes
22.0,63,16,1013,No
14.5,71,20,1009,Yes
30.5,26,2,1028,No
6.0,90,39,998,Yes
19.2,57,10,1016,No
4.5,93,43,993,Yes
21.5,46,8,1020,No
12.8,82,26,1004,Yes
17.0,49,11,1019,No
27.8,32,4,1025,No
8.0,83,23,1002,Yes
25.8,37,6,1023,No
15.5,66,14,1011,No
10.2,77,19,1008,Yes
23.0,41,9,1022,No
2.0,95,46,991,Yes
13.3,73,21,1007,Yes
19.8,55,13,1015,No
7.2,88,35,999,Yes
28.3,29,5,1026,No
16.0,60,16,1012,No
5.8,89,38,997,Yes
24.3,38,7,1022,No
11.5,81,27,1005,Yes
18.8,52,10,1017,No
3.5,94,44,992,Yes
26.5,35,3,1024,No
14.0,75,18,1010,Yes
20.5,59,12,1016,No
9.3,84,32,1001,Yes
22.8,62,15,1013,No
1.0,97,50,989,Yes
17.3,50,8,1019,No
25.5,36,5,1023,No
12.5,79,24,1006,Yes
21.0,45,9,1020,No
7.5,87,36,998,Yes
